Name,Age,City,Salary,Gender,column1,State,Start Date,DateOfBirth
 kyle ,59.0, indianapolis ,151000.0, Other , Raymond , Indiana ,1990-12-09,1964-10-15 14:21:44.568274
 Luis ,31.0, Los Angeles ,58000.0,, Andrade , CA ,1992-02-24,1992-10-08 14:21:44.568274
 katherine ,46.0, Naperville ,146000.0, female , Gutierrez , IL , 21-12-2015 ,1977-10-12 14:21:44.568274
 robert ,25.0, pittsburgh ,66000.0, Male , Yates , Pennsylvania ,1993-01-25,1998-10-07 14:21:44.568274
 austin ,49.0, Naperville ,96000.0,, Turner , IL , 20-09-1979 ,1974-10-13 14:21:44.568274
 christopher ,48.0, Buffalo ,47000.0, other , Carroll , NY ,1990-12-09,1975-10-13 14:21:44.568274
 michelle ,45.0, Fort Wayne ,61000.0, Male , Anderson , Indiana ,1991-05-05,1978-10-12 14:21:44.568274
 Joshua ,38.0, miami ,96000.0,, Roberts , Florida ,2006-07-11,1985-10-10 14:21:44.568274
 Nancy ,32.0, new york ,129000.0, Female , Ferguson , NY ,1992-05-23,1991-10-09 14:21:44.568274
 Dillon ,56.0, chicago ,67000.0, Female , Horn , IL ,2006-07-11,1967-10-15 14:21:44.568274
 Joseph ,66, san antonio ,55000.0, other , Taylor , TX ,2006-07-11,2023-03-03 14:21:44.568274
 elizabeth ,54.0, Chicago ,126000.0, Female , Bird , IL ,1993-01-25,1969-10-14 14:21:44.568274
 Nicole ,41.0, naperville ,78000.0, Other , Roberts , IL ,2006-07-11,1982-10-11 14:21:44.568274
 Robert ,21.0, Aurora ,104000.0, Other , Brock , IL ,1993-11-09,2002-10-06 14:21:44.568274
 susan ,56.0, tampa ,55000.0, Male , Morgan , Florida , 19-04-2022 ,1967-10-15 14:21:44.568274
